# 	 time 	 original 	 transformed 
0.00 	 1.0000 	 1.0000 
0.00 	 0.9997 	 0.9997 
0.00 	 0.9995 	 0.9995 
0.01 	 0.9993 	 0.9993 
0.01 	 0.9999 	 0.9999 
0.01 	 1.0001 	 1.0001 
0.01 	 1.0001 	 1.0001 
0.01 	 0.9993 	 0.9993 
0.02 	 0.9989 	 0.9989 
0.02 	 0.9995 	 0.9995 
0.02 	 0.9993 	 0.9993 
0.02 	 0.9998 	 0.9998 
0.02 	 0.9996 	 0.9996 
0.03 	 0.9997 	 0.9997 
0.03 	 0.9996 	 0.9996 
0.03 	 0.9993 	 0.9993 
0.03 	 0.9992 	 0.9992 
0.03 	 0.9989 	 0.9989 
0.04 	 0.9988 	 0.9988 
0.04 	 0.9983 	 0.9983 
0.04 	 0.9990 	 0.9990 
0.04 	 0.9993 	 0.9993 
0.04 	 0.9997 	 0.9997 
0.05 	 0.9995 	 0.9995 
0.05 	 0.9991 	 0.9991 
0.05 	 0.9990 	 0.9990 
0.05 	 0.9986 	 0.9986 
0.05 	 0.9991 	 0.9991 
0.06 	 0.9990 	 0.9990 
0.06 	 0.9996 	 0.9996 
0.06 	 1.0000 	 1.0000 
0.06 	 1.0004 	 1.0004 
0.06 	 1.0003 	 1.0003 
0.07 	 1.0005 	 1.0005 
0.07 	 1.0001 	 1.0001 
0.07 	 0.9998 	 0.9998 
0.07 	 0.9993 	 0.9993 
0.07 	 0.9993 	 0.9993 
0.08 	 1.0001 	 1.0001 
0.08 	 1.0001 	 1.0001 
0.08 	 1.0004 	 1.0004 
0.08 	 1.0005 	 1.0005 
0.08 	 0.9995 	 0.9995 
0.09 	 0.9999 	 0.9999 
0.09 	 1.0001 	 1.0001 
0.09 	 1.0004 	 1.0004 
0.09 	 0.9995 	 0.9995 
0.09 	 0.9995 	 0.9995 
0.10 	 0.9994 	 0.9994 
0.10 	 0.9997 	 0.9998 
0.10 	 1.0002 	 1.0003 
0.10 	 1.0008 	 1.0008 
0.10 	 1.0006 	 1.0006 
0.11 	 1.0011 	 1.0011 
0.11 	 1.0009 	 1.0009 
0.11 	 1.0006 	 1.0007 
0.11 	 1.0006 	 1.0006 
0.11 	 1.0011 	 1.0011 
0.12 	 1.0009 	 1.0009 
0.12 	 1.0003 	 1.0003 
0.12 	 1.0005 	 1.0005 
0.12 	 1.0002 	 1.0002 
0.12 	 1.0003 	 1.0003 
0.13 	 1.0004 	 1.0004 
0.13 	 1.0000 	 1.0000 
0.13 	 1.0003 	 1.0003 
0.13 	 1.0005 	 1.0005 
0.13 	 1.0006 	 1.0006 
0.14 	 1.0007 	 1.0007 
0.14 	 1.0004 	 1.0005 
0.14 	 1.0001 	 1.0002 
0.14 	 1.0009 	 1.0009 
0.14 	 1.0015 	 1.0015 
0.15 	 1.0016 	 1.0016 
0.15 	 1.0017 	 1.0017 
0.15 	 1.0016 	 1.0016 
0.15 	 1.0014 	 1.0015 
0.15 	 1.0007 	 1.0007 
0.16 	 1.0004 	 1.0004 
0.16 	 1.0010 	 1.0011 
0.16 	 1.0011 	 1.0012 
0.16 	 1.0007 	 1.0008 
0.16 	 1.0004 	 1.0005 
0.17 	 1.0006 	 1.0008 
0.17 	 1.0006 	 1.0007 
0.17 	 1.0003 	 1.0004 
0.17 	 1.0003 	 1.0004 
0.17 	 1.0004 	 1.0005 
0.18 	 1.0008 	 1.0008 
0.18 	 1.0010 	 1.0011 
0.18 	 1.0005 	 1.0006 
0.18 	 1.0010 	 1.0010 
0.18 	 1.0016 	 1.0017 
0.19 	 1.0011 	 1.0012 
0.19 	 1.0010 	 1.0010 
0.19 	 1.0013 	 1.0014 
0.19 	 1.0019 	 1.0019 
0.19 	 1.0013 	 1.0014 
0.20 	 1.0016 	 1.0016 
0.20 	 1.0015 	 1.0015 
0.20 	 1.0017 	 1.0017 
0.20 	 1.0019 	 1.0018 
0.20 	 1.0015 	 1.0014 
0.21 	 1.0015 	 1.0013 
0.21 	 1.0016 	 1.0015 
0.21 	 1.0020 	 1.0019 
0.21 	 1.0014 	 1.0014 
0.21 	 1.0019 	 1.0018 
0.22 	 1.0022 	 1.0021 
0.22 	 1.0022 	 1.0020 
0.22 	 1.0019 	 1.0017 
0.22 	 1.0020 	 1.0018 
0.22 	 1.0027 	 1.0025 
0.23 	 1.0026 	 1.0024 
0.23 	 1.0017 	 1.0016 
0.23 	 1.0011 	 1.0010 
0.23 	 1.0003 	 1.0002 
0.23 	 1.0001 	 1.0001 
0.24 	 1.0002 	 1.0002 
0.24 	 1.0002 	 1.0002 
0.24 	 1.0004 	 1.0004 
0.24 	 1.0005 	 1.0005 
0.24 	 1.0006 	 1.0007 
0.25 	 1.0004 	 1.0003 
0.25 	 1.0006 	 1.0005 
0.25 	 1.0002 	 1.0001 
0.25 	 1.0000 	 0.9998 
0.25 	 1.0004 	 1.0003 
0.26 	 0.9998 	 0.9997 
0.26 	 0.9999 	 0.9998 
0.26 	 0.9990 	 0.9989 
0.26 	 0.9991 	 0.9990 
0.26 	 0.9984 	 0.9983 
0.27 	 0.9983 	 0.9983 
0.27 	 0.9981 	 0.9980 
0.27 	 0.9982 	 0.9981 
0.27 	 0.9986 	 0.9984 
0.27 	 0.9981 	 0.9979 
0.28 	 0.9974 	 0.9973 
0.28 	 0.9969 	 0.9967 
0.28 	 0.9972 	 0.9970 
0.28 	 0.9970 	 0.9968 
0.28 	 0.9962 	 0.9960 
0.29 	 0.9957 	 0.9955 
0.29 	 0.9960 	 0.9958 
0.29 	 0.9962 	 0.9960 
0.29 	 0.9959 	 0.9958 
0.29 	 0.9958 	 0.9956 
0.30 	 0.9956 	 0.9955 
0.30 	 0.9956 	 0.9956 
0.30 	 0.9950 	 0.9949 
0.30 	 0.9954 	 0.9953 
0.30 	 0.9957 	 0.9956 
0.31 	 0.9959 	 0.9959 
0.31 	 0.9958 	 0.9957 
0.31 	 0.9954 	 0.9954 
0.31 	 0.9953 	 0.9953 
0.31 	 0.9952 	 0.9953 
0.32 	 0.9959 	 0.9961 
0.32 	 0.9956 	 0.9958 
0.32 	 0.9958 	 0.9959 
0.32 	 0.9962 	 0.9962 
0.32 	 0.9965 	 0.9965 
0.33 	 0.9968 	 0.9968 
0.33 	 0.9964 	 0.9964 
0.33 	 0.9973 	 0.9974 
0.33 	 0.9979 	 0.9980 
0.33 	 0.9987 	 0.9988 
0.34 	 0.9989 	 0.9990 
0.34 	 0.9992 	 0.9993 
0.34 	 0.9996 	 0.9998 
0.34 	 0.9997 	 0.9999 
0.34 	 0.9999 	 1.0000 
0.35 	 0.9999 	 1.0001 
0.35 	 0.9994 	 0.9996 
0.35 	 0.9995 	 0.9997 
0.35 	 0.9993 	 0.9995 
0.35 	 0.9986 	 0.9988 
0.36 	 0.9977 	 0.9980 
0.36 	 0.9982 	 0.9984 
0.36 	 0.9982 	 0.9985 
0.36 	 0.9976 	 0.9979 
0.36 	 0.9979 	 0.9981 
0.37 	 0.9979 	 0.9982 
0.37 	 0.9983 	 0.9986 
0.37 	 0.9983 	 0.9985 
0.37 	 0.9975 	 0.9976 
0.37 	 0.9980 	 0.9981 
0.38 	 0.9980 	 0.9979 
0.38 	 0.9983 	 0.9982 
0.38 	 0.9981 	 0.9980 
0.38 	 0.9978 	 0.9976 
0.38 	 0.9975 	 0.9974 
0.39 	 0.9984 	 0.9982 
0.39 	 0.9980 	 0.9977 
0.39 	 0.9992 	 0.9990 
0.39 	 0.9995 	 0.9993 
0.39 	 0.9997 	 0.9993 
0.40 	 1.0000 	 0.9996 
0.40 	 1.0004 	 1.0000 
0.40 	 1.0012 	 1.0008 
0.40 	 1.0013 	 1.0009 
0.40 	 1.0019 	 1.0014 
0.41 	 1.0017 	 1.0013 
0.41 	 1.0018 	 1.0016 
0.41 	 1.0023 	 1.0021 
0.41 	 1.0018 	 1.0016 
0.41 	 1.0019 	 1.0016 
0.42 	 1.0022 	 1.0020 
0.42 	 1.0018 	 1.0017 
0.42 	 1.0025 	 1.0022 
0.42 	 1.0029 	 1.0024 
0.42 	 1.0032 	 1.0026 
0.43 	 1.0029 	 1.0022 
0.43 	 1.0026 	 1.0019 
0.43 	 1.0028 	 1.0021 
0.43 	 1.0030 	 1.0024 
0.43 	 1.0019 	 1.0012 
0.44 	 1.0026 	 1.0019 
0.44 	 1.0032 	 1.0025 
0.44 	 1.0027 	 1.0021 
0.44 	 1.0030 	 1.0024 
0.44 	 1.0029 	 1.0022 
0.45 	 1.0028 	 1.0020 
0.45 	 1.0028 	 1.0020 
0.45 	 1.0024 	 1.0017 
0.45 	 1.0023 	 1.0015 
0.45 	 1.0023 	 1.0014 
0.46 	 1.0023 	 1.0016 
0.46 	 1.0023 	 1.0014 
0.46 	 1.0022 	 1.0015 
0.46 	 1.0024 	 1.0015 
0.46 	 1.0022 	 1.0013 
0.47 	 1.0019 	 1.0012 
0.47 	 1.0009 	 1.0003 
0.47 	 1.0013 	 1.0008 
0.47 	 1.0015 	 1.0009 
0.47 	 1.0012 	 1.0006 
0.48 	 1.0015 	 1.0010 
0.48 	 1.0015 	 1.0010 
0.48 	 1.0011 	 1.0007 
0.48 	 1.0012 	 1.0007 
0.48 	 1.0007 	 1.0003 
0.49 	 1.0008 	 1.0004 
0.49 	 1.0014 	 1.0009 
0.49 	 1.0009 	 1.0005 
0.49 	 1.0012 	 1.0009 
0.49 	 1.0019 	 1.0014 
0.50 	 1.0021 	 1.0016 
0.50 	 1.0025 	 1.0021 
0.50 	 1.0023 	 1.0018 
0.50 	 1.0019 	 1.0014 
0.50 	 1.0024 	 1.0019 
