# 	 time 	 original 	 transformed 
0.00 	 0.0000 	 0.0000 
0.00 	 0.0000 	 0.0000 
0.00 	 0.0000 	 0.0000 
0.01 	 0.0000 	 0.0000 
0.01 	 0.0000 	 0.0000 
0.01 	 0.0000 	 0.0000 
0.01 	 0.0000 	 0.0000 
0.01 	 0.0000 	 0.0000 
0.02 	 0.0000 	 0.0000 
0.02 	 0.0000 	 0.0000 
0.02 	 0.0000 	 0.0000 
0.02 	 0.0000 	 0.0000 
0.02 	 0.0000 	 0.0000 
0.03 	 0.0000 	 0.0000 
0.03 	 0.0000 	 0.0000 
0.03 	 0.0000 	 0.0000 
0.03 	 0.0000 	 0.0000 
0.03 	 0.0000 	 0.0000 
0.04 	 0.0000 	 0.0000 
0.04 	 0.0000 	 0.0000 
0.04 	 0.0000 	 0.0000 
0.04 	 0.0000 	 0.0000 
0.04 	 0.0000 	 0.0000 
0.05 	 0.0000 	 0.0000 
0.05 	 0.0000 	 0.0000 
0.05 	 0.0000 	 0.0000 
0.05 	 0.0000 	 0.0000 
0.05 	 0.0000 	 0.0000 
0.06 	 0.0000 	 0.0000 
0.06 	 0.0000 	 0.0000 
0.06 	 0.0000 	 0.0000 
0.06 	 0.0000 	 0.0000 
0.06 	 0.0000 	 0.0000 
0.07 	 0.0000 	 0.0000 
0.07 	 0.0000 	 0.0000 
0.07 	 0.0000 	 0.0000 
0.07 	 0.0000 	 0.0000 
0.07 	 0.0000 	 0.0000 
0.08 	 0.0000 	 0.0000 
0.08 	 0.0000 	 0.0000 
0.08 	 0.0000 	 0.0000 
0.08 	 0.0000 	 0.0000 
0.08 	 0.0000 	 0.0000 
0.09 	 0.0000 	 0.0000 
0.09 	 0.0020 	 0.0010 
0.09 	 0.0000 	 0.0010 
0.09 	 0.0020 	 0.0010 
0.09 	 0.0020 	 0.0010 
0.10 	 0.0020 	 0.0010 
0.10 	 0.0020 	 0.0010 
0.10 	 0.0040 	 0.0020 
0.10 	 0.0020 	 0.0020 
0.10 	 0.0020 	 0.0020 
0.11 	 0.0060 	 0.0030 
0.11 	 0.0060 	 0.0030 
0.11 	 0.0060 	 0.0030 
0.11 	 0.0040 	 0.0030 
0.11 	 0.0040 	 0.0030 
0.12 	 0.0040 	 0.0030 
0.12 	 0.0040 	 0.0030 
0.12 	 0.0040 	 0.0030 
0.12 	 0.0040 	 0.0040 
0.12 	 0.0060 	 0.0040 
0.13 	 0.0060 	 0.0040 
0.13 	 0.0060 	 0.0040 
0.13 	 0.0060 	 0.0040 
0.13 	 0.0040 	 0.0040 
0.13 	 0.0040 	 0.0040 
0.14 	 0.0060 	 0.0040 
0.14 	 0.0060 	 0.0040 
0.14 	 0.0060 	 0.0040 
0.14 	 0.0040 	 0.0040 
0.14 	 0.0040 	 0.0040 
0.15 	 0.0060 	 0.0040 
0.15 	 0.0060 	 0.0040 
0.15 	 0.0060 	 0.0040 
0.15 	 0.0060 	 0.0040 
0.15 	 0.0060 	 0.0040 
0.16 	 0.0060 	 0.0050 
0.16 	 0.0080 	 0.0060 
0.16 	 0.0080 	 0.0060 
0.16 	 0.0060 	 0.0060 
0.16 	 0.0060 	 0.0060 
0.17 	 0.0100 	 0.0070 
0.17 	 0.0080 	 0.0070 
0.17 	 0.0080 	 0.0070 
0.17 	 0.0060 	 0.0070 
0.17 	 0.0080 	 0.0080 
0.18 	 0.0080 	 0.0080 
0.18 	 0.0060 	 0.0080 
0.18 	 0.0080 	 0.0080 
0.18 	 0.0060 	 0.0080 
0.18 	 0.0060 	 0.0080 
0.19 	 0.0080 	 0.0080 
0.19 	 0.0100 	 0.0090 
0.19 	 0.0120 	 0.0100 
0.19 	 0.0140 	 0.0110 
0.19 	 0.0100 	 0.0110 
0.20 	 0.0120 	 0.0120 
0.20 	 0.0100 	 0.0120 
0.20 	 0.0100 	 0.0120 
0.20 	 0.0100 	 0.0120 
0.20 	 0.0100 	 0.0120 
0.21 	 0.0140 	 0.0140 
0.21 	 0.0140 	 0.0140 
0.21 	 0.0160 	 0.0150 
0.21 	 0.0160 	 0.0150 
0.21 	 0.0100 	 0.0150 
0.22 	 0.0180 	 0.0160 
0.22 	 0.0140 	 0.0160 
0.22 	 0.0180 	 0.0180 
0.22 	 0.0140 	 0.0180 
0.22 	 0.0180 	 0.0180 
0.23 	 0.0180 	 0.0190 
0.23 	 0.0180 	 0.0190 
0.23 	 0.0180 	 0.0200 
0.23 	 0.0180 	 0.0200 
0.23 	 0.0220 	 0.0210 
0.24 	 0.0200 	 0.0210 
0.24 	 0.0180 	 0.0210 
0.24 	 0.0220 	 0.0220 
0.24 	 0.0180 	 0.0220 
0.24 	 0.0220 	 0.0230 
0.25 	 0.0200 	 0.0240 
0.25 	 0.0200 	 0.0250 
0.25 	 0.0240 	 0.0260 
0.25 	 0.0240 	 0.0280 
0.25 	 0.0320 	 0.0290 
0.26 	 0.0240 	 0.0290 
0.26 	 0.0260 	 0.0290 
0.26 	 0.0260 	 0.0290 
0.26 	 0.0340 	 0.0310 
0.26 	 0.0320 	 0.0330 
0.27 	 0.0360 	 0.0340 
0.27 	 0.0320 	 0.0340 
0.27 	 0.0300 	 0.0340 
0.27 	 0.0360 	 0.0350 
0.27 	 0.0300 	 0.0350 
0.28 	 0.0340 	 0.0360 
0.28 	 0.0320 	 0.0370 
0.28 	 0.0360 	 0.0380 
0.28 	 0.0360 	 0.0390 
0.28 	 0.0380 	 0.0390 
0.29 	 0.0380 	 0.0390 
0.29 	 0.0420 	 0.0390 
0.29 	 0.0380 	 0.0390 
0.29 	 0.0460 	 0.0420 
0.29 	 0.0360 	 0.0420 
0.30 	 0.0380 	 0.0420 
0.30 	 0.0420 	 0.0420 
