# 	 time 	 original 	 transformed 
0.00 	 0.0000 	 0.0000 
0.00 	 -0.0000 	 -0.0000 
0.00 	 -0.0000 	 -0.0000 
0.01 	 0.0000 	 0.0000 
0.01 	 0.0000 	 0.0000 
0.01 	 0.0000 	 0.0000 
0.01 	 0.0000 	 0.0000 
0.01 	 0.0000 	 0.0000 
0.02 	 0.0000 	 0.0000 
0.02 	 0.0000 	 0.0000 
0.02 	 0.0000 	 0.0000 
0.02 	 0.0000 	 0.0000 
0.02 	 0.0000 	 0.0000 
0.03 	 0.0000 	 0.0000 
0.03 	 0.0000 	 0.0000 
0.03 	 0.0000 	 0.0000 
0.03 	 0.0000 	 0.0000 
0.03 	 0.0000 	 0.0000 
0.04 	 0.0000 	 0.0000 
0.04 	 0.0000 	 0.0000 
0.04 	 0.0000 	 0.0000 
0.04 	 0.0000 	 0.0000 
0.04 	 0.0000 	 0.0000 
0.05 	 0.0000 	 0.0000 
0.05 	 0.0001 	 0.0001 
0.05 	 0.0001 	 0.0001 
0.05 	 0.0001 	 0.0001 
0.05 	 0.0001 	 0.0001 
0.06 	 0.0000 	 0.0000 
0.06 	 0.0000 	 0.0001 
0.06 	 0.0000 	 0.0000 
0.06 	 0.0000 	 0.0000 
0.06 	 0.0001 	 0.0001 
0.07 	 0.0001 	 0.0001 
0.07 	 0.0001 	 0.0001 
0.07 	 0.0001 	 0.0001 
0.07 	 0.0001 	 0.0001 
0.07 	 0.0001 	 0.0001 
0.08 	 0.0001 	 0.0001 
0.08 	 0.0002 	 0.0002 
0.08 	 0.0002 	 0.0002 
0.08 	 0.0002 	 0.0002 
0.08 	 0.0002 	 0.0002 
0.09 	 0.0002 	 0.0002 
0.09 	 0.0002 	 0.0002 
0.09 	 0.0002 	 0.0002 
0.09 	 0.0002 	 0.0002 
0.09 	 0.0003 	 0.0002 
0.10 	 0.0003 	 0.0003 
0.10 	 0.0003 	 0.0003 
0.10 	 0.0003 	 0.0003 
0.10 	 0.0003 	 0.0003 
0.10 	 0.0003 	 0.0003 
0.11 	 0.0003 	 0.0003 
0.11 	 0.0003 	 0.0003 
0.11 	 0.0003 	 0.0003 
0.11 	 0.0003 	 0.0003 
0.11 	 0.0003 	 0.0003 
0.12 	 0.0003 	 0.0003 
0.12 	 0.0003 	 0.0003 
0.12 	 0.0003 	 0.0004 
0.12 	 0.0003 	 0.0003 
0.12 	 0.0004 	 0.0004 
0.13 	 0.0004 	 0.0004 
0.13 	 0.0004 	 0.0004 
0.13 	 0.0004 	 0.0004 
0.13 	 0.0004 	 0.0005 
0.13 	 0.0005 	 0.0005 
0.14 	 0.0005 	 0.0005 
0.14 	 0.0004 	 0.0004 
0.14 	 0.0005 	 0.0005 
0.14 	 0.0004 	 0.0004 
0.14 	 0.0004 	 0.0005 
0.15 	 0.0004 	 0.0004 
0.15 	 0.0005 	 0.0005 
0.15 	 0.0004 	 0.0004 
0.15 	 0.0005 	 0.0005 
0.15 	 0.0004 	 0.0004 
0.16 	 0.0005 	 0.0004 
0.16 	 0.0005 	 0.0005 
0.16 	 0.0005 	 0.0004 
0.16 	 0.0004 	 0.0004 
0.16 	 0.0004 	 0.0004 
0.17 	 0.0005 	 0.0005 
0.17 	 0.0005 	 0.0005 
0.17 	 0.0005 	 0.0005 
0.17 	 0.0005 	 0.0005 
0.17 	 0.0005 	 0.0005 
0.18 	 0.0005 	 0.0005 
0.18 	 0.0005 	 0.0005 
0.18 	 0.0005 	 0.0005 
0.18 	 0.0004 	 0.0005 
0.18 	 0.0004 	 0.0005 
0.19 	 0.0005 	 0.0005 
0.19 	 0.0005 	 0.0005 
0.19 	 0.0006 	 0.0006 
0.19 	 0.0007 	 0.0007 
0.19 	 0.0007 	 0.0007 
0.20 	 0.0007 	 0.0007 
0.20 	 0.0007 	 0.0007 
0.20 	 0.0007 	 0.0007 
0.20 	 0.0006 	 0.0007 
0.20 	 0.0007 	 0.0007 
0.21 	 0.0007 	 0.0007 
0.21 	 0.0008 	 0.0008 
0.21 	 0.0009 	 0.0009 
0.21 	 0.0009 	 0.0009 
0.21 	 0.0010 	 0.0010 
0.22 	 0.0010 	 0.0010 
0.22 	 0.0010 	 0.0010 
0.22 	 0.0010 	 0.0011 
0.22 	 0.0010 	 0.0011 
0.22 	 0.0010 	 0.0010 
0.23 	 0.0011 	 0.0012 
0.23 	 0.0011 	 0.0012 
0.23 	 0.0012 	 0.0012 
0.23 	 0.0012 	 0.0012 
0.23 	 0.0012 	 0.0013 
0.24 	 0.0012 	 0.0012 
0.24 	 0.0012 	 0.0013 
0.24 	 0.0011 	 0.0012 
0.24 	 0.0012 	 0.0012 
0.24 	 0.0012 	 0.0013 
0.25 	 0.0014 	 0.0014 
0.25 	 0.0014 	 0.0014 
0.25 	 0.0013 	 0.0014 
0.25 	 0.0013 	 0.0013 
0.25 	 0.0012 	 0.0013 
0.26 	 0.0013 	 0.0013 
0.26 	 0.0013 	 0.0014 
0.26 	 0.0013 	 0.0013 
0.26 	 0.0013 	 0.0013 
0.26 	 0.0013 	 0.0014 
0.27 	 0.0013 	 0.0013 
0.27 	 0.0014 	 0.0014 
0.27 	 0.0013 	 0.0014 
0.27 	 0.0013 	 0.0014 
0.27 	 0.0013 	 0.0014 
0.28 	 0.0014 	 0.0015 
0.28 	 0.0014 	 0.0015 
0.28 	 0.0015 	 0.0015 
0.28 	 0.0015 	 0.0015 
0.28 	 0.0015 	 0.0016 
0.29 	 0.0015 	 0.0016 
0.29 	 0.0016 	 0.0016 
0.29 	 0.0016 	 0.0017 
0.29 	 0.0018 	 0.0019 
0.29 	 0.0019 	 0.0020 
0.30 	 0.0018 	 0.0019 
0.30 	 0.0020 	 0.0021 
