# 	 time 	 original 	 transformed 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.00 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.01 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.02 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
0.03 	 0.1419 	 0.1419 
